SHAP Aggregated — HURRAH | tabicl
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 4 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
VITA                                      63144100419890688557056.000000126176706955740601909248.000000
HF_BASE                                   56637281096177157144576.000000113271307287067300462592.000000
NF_FA                                     49586473634349661028352.00000099169779735724224937984.000000
FAM_CV                                    45693612593136697081856.00000091384719588141507280896.000000
ALB_CAT                                   45493954753467934310400.00000090933745802824994783232.000000
ETA                                       38436712209756754804736.00000073774213634055315914752.000000
CAA_DIID                                  37326920799668995620864.00000074643136803314251857920.000000
IMT                                       37182634481076215480320.00000074352714033454995472384.000000
FAM_IPERT                                 30384955189634881552384.00000060755729247108138532864.000000
TG                                        25342305346256786948096.00000050109443939282825773056.000000
SESSO                                     23770768264945188470784.00000047452959555051407278080.000000
BETABLOCCANTI                             23643343916018977210368.00000047142712037685436874752.000000
DIURETICI                                 23538957439342273888256.00000046474255645071487533056.000000
PAD                                       19213292272850208555008.00000038320228165352909963264.000000
ETANOLO_G_DIE                             11097682702333078667264.00000021888444414403601760256.000000
CBV_BASE                                  9206116947257514262528.00000018398041438698170482688.000000
CLORTALIDONE                              8989559463015532724224.00000017963491791871091408896.000000
EZETEMIBE                                 8201157495438429913088.00000016399022800598034546688.000000
HT                                        7743099569063840448512.00000015473582083600656891904.000000
ACIDO_NICOTINICO                          6281768769404429926400.00000012562059040488897380352.000000
SARTANI                                   5626403806151170850816.00000011249857719652115808256.000000
ALTEZZA                                   5600011614906411384832.0000009140665116277894807552.000000
PESO                                      4387598963743850496000.0000008660352884411013791744.000000
PAS                                       3432994153600296943616.0000004460796127691138924544.000000
IMA_BASE                                  3000430527556366106624.0000005998636596848488349696.000000
FIBRATI                                   2813150457021729341440.0000005616175688624223813632.000000
HCTZ                                      2554582399045378506752.0000005103615905323790893056.000000
EXFUMO                                    2469755403935739805696.0000003660927478989163855872.000000
PCR                                       2327858725243775614976.0000002939099052066756624384.000000
BMI                                       1560123621339799224320.0000003102749274982583894016.000000
HDL                                       1414282610505835085824.0000002792512498836548616192.000000
URICEMIA                                  1181694214519140122624.0000002174929131999357042688.000000
FA_BASE                                   1170464075153158701056.0000002337838190025199058944.000000
ANNI_MENOP                                1116628798715011399680.0000002225300029937501077504.000000
FU_NF_FA                                  1066452177651887243264.0000002131217415756373032960.000000
ALTRO_CAA                                 1019024292918215180288.0000002028268229528913969152.000000
HB                                        909916438510562967552.0000001813744667729574756352.000000
ATT_FIS_H_SETT                            892548367067215036416.0000001777252342634361126912.000000
IPERTESO                                  836891271792990486528.0000001668152358979904471040.000000
AZOTEMIA                                  783720446463917948928.0000001562604931563470192640.000000
CREATININA                                763140756307969310720.0000001521353292298363863040.000000
DELL_ANSA                                 717794450299155251200.0000001288438780870552453120.000000
FUMO_ATT                                  519777886142484381696.000000992347676038865092608.000000
INS_CARD                                  296649128005744918528.000000538560685477608554496.000000
MENOPAUSA                                 239664460517946753024.000000472986072366023376896.000000
ACEI                                      225605449843501727744.000000421883372212882636800.000000
GOTTA                                     206635137811057082368.000000391841190182927204352.000000
DIABETE                                   194930868884459716608.000000275873838963775700992.000000
STATINA                                   177010311366678216704.000000347786814325268414464.000000
ALLOPURINOLO                              111629917965700726784.000000219293521166443577344.000000

======================================================================
  Preprocessing: NaN  (aggregated over 4 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ALLOPURINOLO                                  0.301956      0.119325
ALB_CAT                                       0.180587      0.109992
MENOPAUSA                                     0.178665      0.075018
FAM_CV                                        0.156465      0.062210
HCTZ                                          0.129939      0.087329
FIBRATI                                       0.125077      0.043817
CLORTALIDONE                                  0.114623      0.058707
ACEI                                          0.112553      0.042649
ATT_FIS_H_SETT                                0.110038      0.062993
SESSO                                         0.109864      0.085278
GOTTA                                         0.108837      0.087807
INS_CARD                                      0.102771      0.031454
SARTANI                                       0.099229      0.042674
ATT_FIS                                       0.098181      0.047157
FAM_IPERT                                     0.087232      0.046850
BETABLOCCANTI                                 0.086859      0.040083
DIABETE                                       0.077614      0.025405
ALTRO_CAA                                     0.074747      0.043370
DELL_ANSA                                     0.071985      0.047255
INDAPAMIDE                                    0.071781      0.060484
ANNI_MENOP                                    0.059859      0.029633
IRC                                           0.058253      0.032607
IPERTESO                                      0.054422      0.031010
ALCOOL                                        0.050683      0.024003
OMEGA_3                                       0.040880      0.026617
RESINE                                        0.035082      0.024691
STATINA                                       0.034820      0.024635
CREATININA                                    0.034521      0.019028
ETANOLO_G_DIE                                 0.034467      0.018086
DIURETICI                                     0.032356      0.009605
URICEMIA                                      0.031370      0.014397
EXFUMO                                        0.031128      0.020600
PLACCA                                        0.030007      0.012841
EZETEMIBE                                     0.029559      0.024639
FU_NF_FA                                      0.027397      0.010147
NF_FA                                         0.025791      0.010938
NORMOMICROMACRO                               0.023936      0.008019
FA_BASE                                       0.022874      0.014807
CAA_DIID                                      0.021153      0.010918
PCR                                           0.019086      0.007897
IMT                                           0.017842      0.009639
ETA                                           0.017625      0.006386
HDL                                           0.017075      0.008005
FUMO_ATT                                      0.015674      0.007072
BMI                                           0.014935      0.006696
HB                                            0.014922      0.007792
HF_BASE                                       0.014581      0.004384
IMA_BASE                                      0.014578      0.004746
ALTEZZA                                       0.013762      0.003960
CBV_BASE                                      0.013436      0.008015
TG                                            0.013415      0.005026
HT                                            0.013080      0.006700
VITA                                          0.013065      0.005395
CT                                            0.012972      0.006035
ACIDO_NICOTINICO                              0.012956      0.005431
PAS                                           0.012826      0.004296
AZOTEMIA                                      0.012746      0.007733
GLICEMIA                                      0.012656      0.005562
FC                                            0.011705      0.005880
PAD                                           0.011241      0.004322
PESO                                          0.010918      0.005220

--- deepsurv_vanilla ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
SESSO                                         0.167237      0.236852
ACEI                                          0.140329      0.070201
HCTZ                                          0.122127      0.087730
MENOPAUSA                                     0.109125      0.155662
ALB_CAT                                       0.103809      0.110060
CLORTALIDONE                                  0.087590      0.042325
ALLOPURINOLO                                  0.084071      0.068963
GOTTA                                         0.082396      0.080047
FAM_CV                                        0.078378      0.054165
DELL_ANSA                                     0.066861      0.053673
INS_CARD                                      0.065874      0.028903
SARTANI                                       0.061044      0.037093
DIABETE                                       0.053280      0.025977
ATT_FIS                                       0.051982      0.046632
ATT_FIS_H_SETT                                0.045949      0.030672
INDAPAMIDE                                    0.045481      0.040220
FIBRATI                                       0.043596      0.027914
IRC                                           0.041652      0.027775
ALTRO_CAA                                     0.040764      0.017415
IPERTESO                                      0.038722      0.027445
FAM_IPERT                                     0.037392      0.028005
BETABLOCCANTI                                 0.036778      0.025654
EXFUMO                                        0.036341      0.031487
ANNI_MENOP                                    0.035730      0.022598
EZETEMIBE                                     0.030952      0.039442
