
Dataset: HURRAH | Model: tabicl | Seeds: 42 (aggregated, n=1)
======================================================================

Preprocess: -1
------------------------------------------------------------

  Sample size (requested):    100  |  actual mean: 100
    TRAIN Cox (base)                        → mean: 0.8282 | std: 0.0000 | min: 0.8227 | max: 0.8329
    TEST  Cox (base)                        → mean: 0.8260 | std: 0.0000 | min: 0.8176 | max: 0.8315

  Sample size (requested):  15000  |  actual mean: 13566
    TRAIN tabicl+DS-simple                  → mean: 0.9611 | std: 0.0000 | min: 0.9571 | max: 0.9631
    TEST  tabicl+DS-simple                  → mean: 0.7899 | std: 0.0000 | min: 0.7748 | max: 0.7995
    TRAIN tabicl+DS-vanilla                 → mean: 0.9619 | std: 0.0000 | min: 0.9599 | max: 0.9640
    TEST  tabicl+DS-vanilla                 → mean: 0.7823 | std: 0.0000 | min: 0.7699 | max: 0.7951
    TRAIN tabicl+RSF                        → mean: 0.9837 | std: 0.0000 | min: 0.9832 | max: 0.9842
    TEST  tabicl+RSF                        → mean: 0.7323 | std: 0.0000 | min: 0.7120 | max: 0.7456
    TRAIN tabicl+Cox                        → mean: 0.9644 | std: 0.0000 | min: 0.9639 | max: 0.9651
    TEST  tabicl+Cox                        → mean: 0.7699 | std: 0.0000 | min: 0.7563 | max: 0.7889
    TRAIN DS-simple (base)                  → mean: 0.8364 | std: 0.0000 | min: 0.8348 | max: 0.8395
    TEST  DS-simple (base)                  → mean: 0.8335 | std: 0.0000 | min: 0.8245 | max: 0.8412
    TRAIN DS-vanilla (base)                 → mean: 0.8395 | std: 0.0000 | min: 0.8094 | max: 0.8632
    TEST  DS-vanilla (base)                 → mean: 0.8296 | std: 0.0000 | min: 0.8012 | max: 0.8492
    TRAIN RSF (base)                        → mean: 0.9421 | std: 0.0000 | min: 0.9412 | max: 0.9428
    TEST  RSF (base)                        → mean: 0.8531 | std: 0.0000 | min: 0.8423 | max: 0.8658
    TRAIN Cox (base)                        → mean: 0.8281 | std: 0.0000 | min: 0.8259 | max: 0.8296
    TEST  Cox (base)                        → mean: 0.8261 | std: 0.0000 | min: 0.8177 | max: 0.8319

Preprocess: NaN
------------------------------------------------------------

  Sample size (requested):    100  |  actual mean: 100
    TRAIN tabicl+DS-simple                  → mean: 0.9531 | std: 0.0000 | min: 0.9418 | max: 0.9686
    TEST  tabicl+DS-simple                  → mean: 0.7020 | std: 0.0000 | min: 0.6685 | max: 0.7244
    TRAIN tabicl+DS-vanilla                 → mean: 0.9599 | std: 0.0000 | min: 0.9441 | max: 0.9704
    TEST  tabicl+DS-vanilla                 → mean: 0.6494 | std: 0.0000 | min: 0.5768 | max: 0.6794
    TRAIN tabicl+RSF                        → mean: 0.9644 | std: 0.0000 | min: 0.9376 | max: 0.9837
    TEST  tabicl+RSF                        → mean: 0.6556 | std: 0.0000 | min: 0.5891 | max: 0.6961
    TRAIN tabicl+Cox                        → mean: 0.9947 | std: 0.0000 | min: 0.9745 | max: 1.0000
    TEST  tabicl+Cox                        → mean: 0.5919 | std: 0.0000 | min: 0.4963 | max: 0.6732

  Sample size (requested):    500  |  actual mean: 500
    TRAIN tabicl+DS-simple                  → mean: 0.9548 | std: 0.0000 | min: 0.9458 | max: 0.9629
    TEST  tabicl+DS-simple                  → mean: 0.7450 | std: 0.0000 | min: 0.7263 | max: 0.7588
    TRAIN tabicl+DS-vanilla                 → mean: 0.9609 | std: 0.0000 | min: 0.9498 | max: 0.9776
    TEST  tabicl+DS-vanilla                 → mean: 0.7227 | std: 0.0000 | min: 0.7174 | max: 0.7292
    TRAIN tabicl+RSF                        → mean: 0.9828 | std: 0.0000 | min: 0.9768 | max: 0.9886
    TEST  tabicl+RSF                        → mean: 0.6173 | std: 0.0000 | min: 0.5780 | max: 0.6417
    TRAIN tabicl+Cox                        → mean: 0.9798 | std: 0.0000 | min: 0.9617 | max: 0.9868
    TEST  tabicl+Cox                        → mean: 0.6537 | std: 0.0000 | min: 0.6371 | max: 0.6734

  Sample size (requested):   1000  |  actual mean: 1000
    TRAIN tabicl+DS-simple                  → mean: 0.9522 | std: 0.0000 | min: 0.9477 | max: 0.9589
    TEST  tabicl+DS-simple                  → mean: 0.7581 | std: 0.0000 | min: 0.7500 | max: 0.7666
    TRAIN tabicl+DS-vanilla                 → mean: 0.9604 | std: 0.0000 | min: 0.9511 | max: 0.9735
    TEST  tabicl+DS-vanilla                 → mean: 0.7582 | std: 0.0000 | min: 0.7289 | max: 0.7789
    TRAIN tabicl+RSF                        → mean: 0.9825 | std: 0.0000 | min: 0.9805 | max: 0.9855
    TEST  tabicl+RSF                        → mean: 0.7064 | std: 0.0000 | min: 0.6631 | max: 0.7411
    TRAIN tabicl+Cox                        → mean: 0.9750 | std: 0.0000 | min: 0.9727 | max: 0.9762
    TEST  tabicl+Cox                        → mean: 0.6985 | std: 0.0000 | min: 0.6739 | max: 0.7296

  Sample size (requested):   2500  |  actual mean: 2500
    TRAIN tabicl+DS-simple                  → mean: 0.9563 | std: 0.0000 | min: 0.9479 | max: 0.9603
    TEST  tabicl+DS-simple                  → mean: 0.7820 | std: 0.0000 | min: 0.7611 | max: 0.8015
    TRAIN tabicl+DS-vanilla                 → mean: 0.9591 | std: 0.0000 | min: 0.9545 | max: 0.9667
    TEST  tabicl+DS-vanilla                 → mean: 0.7830 | std: 0.0000 | min: 0.7656 | max: 0.7907
    TRAIN tabicl+RSF                        → mean: 0.9830 | std: 0.0000 | min: 0.9824 | max: 0.9839
    TEST  tabicl+RSF                        → mean: 0.7159 | std: 0.0000 | min: 0.6788 | max: 0.7390
    TRAIN tabicl+Cox                        → mean: 0.9375 | std: 0.0000 | min: 0.8192 | max: 0.9687
    TEST  tabicl+Cox                        → mean: 0.6480 | std: 0.0000 | min: 0.4027 | max: 0.7270

  Sample size (requested):   5000  |  actual mean: 5000
    TRAIN tabicl+DS-simple                  → mean: 0.9611 | std: 0.0000 | min: 0.9554 | max: 0.9635
    TEST  tabicl+DS-simple                  → mean: 0.7812 | std: 0.0000 | min: 0.7703 | max: 0.7904
    TRAIN tabicl+DS-vanilla                 → mean: 0.9619 | std: 0.0000 | min: 0.9574 | max: 0.9640
    TEST  tabicl+DS-vanilla                 → mean: 0.7484 | std: 0.0000 | min: 0.7277 | max: 0.7645
    TRAIN tabicl+RSF                        → mean: 0.9833 | std: 0.0000 | min: 0.9828 | max: 0.9843
    TEST  tabicl+RSF                        → mean: 0.7088 | std: 0.0000 | min: 0.6795 | max: 0.7357
    TRAIN tabicl+Cox                        → mean: 0.9661 | std: 0.0000 | min: 0.9648 | max: 0.9682
    TEST  tabicl+Cox                        → mean: 0.7246 | std: 0.0000 | min: 0.7164 | max: 0.7381

  Sample size (requested):  10000  |  actual mean: 10000
    TRAIN tabicl+DS-simple                  → mean: 0.9619 | std: 0.0000 | min: 0.9598 | max: 0.9636
    TEST  tabicl+DS-simple                  → mean: 0.7552 | std: 0.0000 | min: 0.7123 | max: 0.7817
    TRAIN tabicl+DS-vanilla                 → mean: 0.9617 | std: 0.0000 | min: 0.9586 | max: 0.9647
    TEST  tabicl+DS-vanilla                 → mean: 0.7694 | std: 0.0000 | min: 0.7390 | max: 0.7944
    TRAIN tabicl+RSF                        → mean: 0.9832 | std: 0.0000 | min: 0.9826 | max: 0.9839
    TEST  tabicl+RSF                        → mean: 0.7004 | std: 0.0000 | min: 0.6821 | max: 0.7261
    TRAIN tabicl+Cox                        → mean: 0.9643 | std: 0.0000 | min: 0.9637 | max: 0.9654
    TEST  tabicl+Cox                        → mean: 0.7380 | std: 0.0000 | min: 0.7295 | max: 0.7430

  Sample size (requested):  15000  |  actual mean: 13566
    TRAIN tabicl+DS-simple                  → mean: 0.9615 | std: 0.0000 | min: 0.9599 | max: 0.9636
    TEST  tabicl+DS-simple                  → mean: 0.7902 | std: 0.0000 | min: 0.7765 | max: 0.8094
    TRAIN tabicl+DS-vanilla                 → mean: 0.9620 | std: 0.0000 | min: 0.9603 | max: 0.9637
    TEST  tabicl+DS-vanilla                 → mean: 0.7755 | std: 0.0000 | min: 0.7425 | max: 0.7937
    TRAIN tabicl+RSF                        → mean: 0.9834 | std: 0.0000 | min: 0.9831 | max: 0.9837
    TEST  tabicl+RSF                        → mean: 0.6965 | std: 0.0000 | min: 0.6813 | max: 0.7305
    TRAIN tabicl+Cox                        → mean: 0.9634 | std: 0.0000 | min: 0.9629 | max: 0.9642
    TEST  tabicl+Cox                        → mean: 0.7393 | std: 0.0000 | min: 0.7243 | max: 0.7499
