SHAP — HURRAH | tabpfn | preprocess: -1 | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
AZOTEMIA                                  0.011577       0.004719
PAD                                       0.011058       0.006344
ANNI_MENOP                                0.011056       0.003425
ALLOPURINOLO                              0.010912       0.002266
HCTZ                                      0.010208       0.003968
EZETEMIBE                                 0.010134       0.003862
OMEGA_3                                   0.009886       0.003466
FIBRATI                                   0.009541       0.004048
PCR                                       0.009388       0.003810
FA_BASE                                   0.009215       0.002786
MENOPAUSA                                 0.008891       0.009084
BETABLOCCANTI                             0.007817       0.004269
DIURETICI                                 0.007440       0.004163
IPERTESO                                  0.005320       0.001693

--- deepsurv_vanilla_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.881624       0.142474
AZOTEMIA                                  0.191749       0.063667
VITA                                      0.167197       0.064554
ALTEZZA                                   0.155164       0.177018
TG                                        0.143170       0.111172
PAS                                       0.111155       0.045976
CT                                        0.101019       0.170905
URICEMIA                                  0.077292       0.029186
ALCOOL                                    0.076866       0.017262
SESSO                                     0.068477       0.028241
HB                                        0.067336       0.032861
FUMO_ATT                                  0.066868       0.017548
ALB_CAT                                   0.066651       0.046328
RESINE                                    0.061138       0.033934
GLICEMIA                                  0.058189       0.057690
HF_BASE                                   0.056372       0.040527
STATINA                                   0.055367       0.015350
IMA_BASE                                  0.053557       0.027680
SARTANI                                   0.048567       0.013601
FC                                        0.048123       0.021993
FAM_IPERT                                 0.046220       0.038925
CBV_BASE                                  0.043495       0.015776
HT                                        0.042469       0.039449
FU_NF_FA                                  0.042261       0.021835
CLORTALIDONE                              0.040972       0.022768
ETANOLO_G_DIE                             0.039324       0.023183
PAD                                       0.037610       0.027506
ACIDO_NICOTINICO                          0.032982       0.019250
EZETEMIBE                                 0.032608       0.024184
DIABETE                                   0.032082       0.007991
FA_BASE                                   0.031554       0.019900
IPERTESO                                  0.030761       0.022071
HDL                                       0.029003       0.020171
DIURETICI                                 0.028202       0.014586
NORMOMICROMACRO                           0.028058       0.014799
INS_CARD                                  0.027593       0.014571
IMT                                       0.027009       0.013879
ATT_FIS_H_SETT                            0.026451       0.013534
ANNI_MENOP                                0.025115       0.009390
PLACCA                                    0.022930       0.012633
IRC                                       0.021445       0.007625
HCTZ                                      0.021325       0.012939
ACEI                                      0.020624       0.011957
ATT_FIS                                   0.019294       0.005762
BETABLOCCANTI                             0.018853       0.011670
OMEGA_3                                   0.018679       0.009889
DELL_ANSA                                 0.018651       0.005481
FIBRATI                                   0.017929       0.008028
INDAPAMIDE                                0.017833       0.006938
BMI                                       0.017539       0.008873
PESO                                      0.016681       0.009291
NF_FA                                     0.015513       0.006812
MENOPAUSA                                 0.015269       0.011837
EXFUMO                                    0.014418       0.005499
FAM_CV                                    0.014067       0.006753
ALTRO_CAA                                 0.013381       0.005458
CREATININA                                0.013166       0.007351
GOTTA                                     0.012298       0.006521
ALLOPURINOLO                              0.012141       0.004756
PCR                                       0.009669       0.001515
CAA_DIID                                  0.006689       0.003059

--- rsf_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                      10.665600       1.720769
INS_CARD                                  1.960314       0.347295
FAM_CV                                    1.402885       0.233291
FAM_IPERT                                 1.248155       0.356580
GLICEMIA                                  0.816114       0.251397
URICEMIA                                  0.800508       0.214222
CREATININA                                0.796530       0.142204
PAS                                       0.723542       0.196078
DIABETE                                   0.643216       0.161295
CLORTALIDONE                              0.641909       0.283962
ACEI                                      0.633064       0.179377
ACIDO_NICOTINICO                          0.570220       0.189124
HB                                        0.528920       0.271869
SARTANI                                   0.457249       0.088649
AZOTEMIA                                  0.425644       0.089741
SESSO                                     0.419086       0.149169
IRC                                       0.390838       0.174981
ALLOPURINOLO                              0.385300       0.158030
CT                                        0.360681       0.163672
BMI                                       0.346274       0.118549
PLACCA                                    0.344623       0.128294
DELL_ANSA                                 0.344415       0.150124
ALCOOL                                    0.342944       0.175708
RESINE                                    0.321820       0.165417
VITA                                      0.318746       0.106785
ALTRO_CAA                                 0.304437       0.124438
PESO                                      0.293037       0.057894
HT                                        0.284578       0.123508
EXFUMO                                    0.269120       0.133050
FC                                        0.259229       0.097639
ATT_FIS_H_SETT                            0.254507       0.024669
TG                                        0.235797       0.064199
HCTZ                                      0.228906       0.082239
FA_BASE                                   0.226268       0.090910
ETANOLO_G_DIE                             0.221001       0.070879
GOTTA                                     0.204720       0.070075
PAD                                       0.196996       0.020046
STATINA                                   0.191801       0.048124
DIURETICI                                 0.188446       0.033478
EZETEMIBE                                 0.179247       0.066904
INDAPAMIDE                                0.174430       0.047476
IMA_BASE                                  0.173313       0.091325
NORMOMICROMACRO                           0.161362       0.073485
OMEGA_3                                   0.160928       0.029167
ATT_FIS                                   0.156136       0.041450
FIBRATI                                   0.155160       0.082397
HF_BASE                                   0.147959       0.052662
CAA_DIID                                  0.146145       0.036263
FUMO_ATT                                  0.141868       0.061681
NF_FA                                     0.137888       0.029002
IPERTESO                                  0.134459       0.046740
FU_NF_FA                                  0.118198       0.062116
HDL                                       0.117326       0.056267
ALTEZZA                                   0.116919       0.050848
PCR                                       0.116478       0.022821
BETABLOCCANTI                             0.111184       0.033506
CBV_BASE                                  0.110815       0.061469
IMT                                       0.104564       0.039607
ALB_CAT                                   0.093195       0.040456
MENOPAUSA                                 0.083834       0.018507
ANNI_MENOP                                0.053607       0.028846

--- cox_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.419844       0.069579
FAM_IPERT                                 0.082489       0.013965
URICEMIA                                  0.072980       0.010613
DIABETE                                   0.072211       0.023528
INS_CARD                                  0.067620       0.013483
IRC                                       0.059063       0.004516
DELL_ANSA                                 0.054784       0.016720
FAM_CV                                    0.043228       0.008478
SESSO                                     0.042173       0.004446
PAS                                       0.033463       0.009238
ALTEZZA                                   0.030646       0.019181
PLACCA                                    0.028998       0.007803
ALB_CAT                                   0.028277       0.004922
GLICEMIA                                  0.028143       0.009362
IPERTESO                                  0.028033       0.005105
SARTANI                                   0.026199       0.003825
PAD                                       0.024086       0.004964
STATINA                                   0.023208       0.003251
ACIDO_NICOTINICO                          0.021746       0.005664
FUMO_ATT                                  0.021632       0.005661
RESINE                                    0.021410       0.008741
ALLOPURINOLO                              0.021130       0.006186
CT                                        0.021089       0.007295
HB                                        0.021035       0.006810
ATT_FIS_H_SETT                            0.019176       0.005544
CBV_BASE                                  0.018069       0.005983
PESO                                      0.017832       0.003501
HF_BASE                                   0.017822       0.004355
IMA_BASE                                  0.017784       0.005927
ETANOLO_G_DIE                             0.017489       0.003235
NORMOMICROMACRO                           0.016725       0.006497
AZOTEMIA                                  0.016329       0.003988
EXFUMO                                    0.015649       0.002228
ALTRO_CAA                                 0.015509       0.007341
IMT                                       0.015320       0.003592
DIURETICI                                 0.014448       0.005001
EZETEMIBE                                 0.013158       0.007050
BMI                                       0.011022       0.004931
OMEGA_3                                   0.010793       0.002842
CAA_DIID                                  0.010682       0.003616
NF_FA                                     0.010473       0.003924
GOTTA                                     0.010457       0.003464
ATT_FIS                                   0.010217       0.001905
MENOPAUSA                                 0.009617       0.002618
FC                                        0.009556       0.004482
FU_NF_FA                                  0.009205       0.006337
FIBRATI                                   0.008901       0.002682
VITA                                      0.008632       0.002116
INDAPAMIDE                                0.008199       0.004652
FA_BASE                                   0.008090       0.003629
CREATININA                                0.007732       0.005275
TG                                        0.007596       0.003477
HT                                        0.007533       0.003751
ANNI_MENOP                                0.007430       0.003105
HDL                                       0.007380       0.004041
CLORTALIDONE                              0.006641       0.002997
HCTZ                                      0.005691       0.002364
BETABLOCCANTI                             0.004897       0.001558
PCR                                       0.004365       0.002216
ALCOOL                                    0.003847       0.001939
ACEI                                      0.002947       0.002021
