SHAP Aggregated — HURRAH | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ALLOPURINOLO                                  0.016343      0.011040
BETABLOCCANTI                                 0.015588      0.011504
GOTTA                                         0.015110      0.010396
ALTRO_CAA                                     0.014735      0.008179
HCTZ                                          0.014265      0.008539
CAA_DIID                                      0.012823      0.006687

--- rsf_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                          10.460710      1.748730
INS_CARD                                      2.308315      0.416741
FAM_IPERT                                     1.279083      0.315707
FAM_CV                                        1.072679      0.240709
CREATININA                                    0.954756      0.277311
GLICEMIA                                      0.830169      0.294028
ACEI                                          0.801490      0.235531
HB                                            0.715491      0.268257
URICEMIA                                      0.697403      0.169275
PAS                                           0.676805      0.201586
CLORTALIDONE                                  0.632759      0.171979
DIABETE                                       0.596027      0.158109
IRC                                           0.433116      0.115106
SARTANI                                       0.405188      0.127620
AZOTEMIA                                      0.403034      0.129715
ALLOPURINOLO                                  0.385885      0.089404
ALCOOL                                        0.385731      0.164827
BMI                                           0.358145      0.109425
CT                                            0.352276      0.133798
SESSO                                         0.349950      0.107884
ACIDO_NICOTINICO                              0.327682      0.112241
DELL_ANSA                                     0.314894      0.142400
PESO                                          0.301769      0.114840
VITA                                          0.292929      0.130381
HT                                            0.275926      0.106557
FC                                            0.269156      0.082329
GOTTA                                         0.264804      0.088499
PAD                                           0.253387      0.097328
ATT_FIS_H_SETT                                0.237153      0.043768
ALTRO_CAA                                     0.234433      0.078409
PLACCA                                        0.232420      0.082349
ETANOLO_G_DIE                                 0.223644      0.047373
RESINE                                        0.222250      0.079280
EXFUMO                                        0.222023      0.082746
EZETEMIBE                                     0.202763      0.067056
ALTEZZA                                       0.192553      0.071301
INDAPAMIDE                                    0.182926      0.078752
ALB_CAT                                       0.182479      0.091909
ATT_FIS                                       0.182150      0.085901
TG                                            0.178147      0.062883
CBV_BASE                                      0.176498      0.058773
BETABLOCCANTI                                 0.172803      0.083135
HCTZ                                          0.166083      0.059846
HDL                                           0.163936      0.065474
FIBRATI                                       0.163803      0.059478
IPERTESO                                      0.163359      0.060964
STATINA                                       0.157227      0.059987
OMEGA_3                                       0.151533      0.069638
HF_BASE                                       0.151480      0.052920
NORMOMICROMACRO                               0.146612      0.049685
FA_BASE                                       0.144478      0.052552
DIURETICI                                     0.139478      0.041916
NF_FA                                         0.137867      0.067062
IMA_BASE                                      0.131569      0.063241
FUMO_ATT                                      0.123692      0.026964
FU_NF_FA                                      0.115509      0.047323
CAA_DIID                                      0.112868      0.032078
PCR                                           0.101011      0.046550
MENOPAUSA                                     0.093106      0.053676
IMT                                           0.089578      0.043938
ANNI_MENOP                                    0.088732      0.042428

--- cox_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           0.420417      0.058234
FAM_IPERT                                     0.082104      0.011801
DIABETE                                       0.076547      0.019877
INS_CARD                                      0.070340      0.017881
URICEMIA                                      0.070036      0.012322
IRC                                           0.059577      0.011949
DELL_ANSA                                     0.056434      0.015140
SESSO                                         0.048620      0.008713
FAM_CV                                        0.039287      0.006787
ALTEZZA                                       0.031447      0.015781
SARTANI                                       0.030325      0.006513
PLACCA                                        0.029885      0.008174
PAS                                           0.028437      0.009337
ALB_CAT                                       0.028273      0.006685
PAD                                           0.026739      0.007324
GLICEMIA                                      0.025846      0.008697
STATINA                                       0.025072      0.007643
IPERTESO                                      0.023518      0.005914
ALLOPURINOLO                                  0.022590      0.005036
ACIDO_NICOTINICO                              0.020442      0.005071
PESO                                          0.020224      0.004806
CT                                            0.020155      0.005896
EXFUMO                                        0.019916      0.005484
RESINE                                        0.019850      0.006472
