SHAP — HURRAH | tabicl | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
INS_CARD                                  0.156909       0.116884
ACEI                                      0.152943       0.096435
GOTTA                                     0.147317       0.137434
ALCOOL                                    0.145596       0.112019
HCTZ                                      0.143331       0.112977
IMT                                       0.141321       0.074385
MENOPAUSA                                 0.140689       0.055240
INDAPAMIDE                                0.140117       0.096065
FAM_IPERT                                 0.135091       0.066069
FA_BASE                                   0.130351       0.105894
IMA_BASE                                  0.124996       0.060578
CREATININA                                0.124498       0.038623
NORMOMICROMACRO                           0.113475       0.040860
ATT_FIS                                   0.111632       0.037014
FU_NF_FA                                  0.109527       0.059640
IRC                                       0.103884       0.067826
ACIDO_NICOTINICO                          0.096088       0.030138

--- rsf_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
SESSO                                     4.735700       1.674251
ATT_FIS_H_SETT                            2.404148       0.538635
CAA_DIID                                  1.614777       0.511499
NORMOMICROMACRO                           1.222611       0.618647
ALTRO_CAA                                 1.052200       1.468997
GLICEMIA                                  0.663994       0.529829
VITA                                      0.608194       0.310864
DELL_ANSA                                 0.598390       0.564086
FAM_CV                                    0.521913       0.265107
PCR                                       0.461448       0.240818
PLACCA                                    0.396753       0.552403
ATT_FIS                                   0.386188       0.179322
ALCOOL                                    0.364200       0.227080
HB                                        0.344788       0.224176
INS_CARD                                  0.335550       0.126634
HCTZ                                      0.328705       0.285055
RESINE                                    0.287525       0.213074
FAM_IPERT                                 0.236603       0.164248
ALLOPURINOLO                              0.210439       0.129504
DIURETICI                                 0.209111       0.098889
HT                                        0.208331       0.110903
EXFUMO                                    0.191336       0.050050
ACEI                                      0.187718       0.117416
AZOTEMIA                                  0.183582       0.090213
CLORTALIDONE                              0.170064       0.062010
CT                                        0.164147       0.060764
GOTTA                                     0.159607       0.083543
ETANOLO_G_DIE                             0.159389       0.120229
ANNI_MENOP                                0.158924       0.120480
SARTANI                                   0.157830       0.106537
MENOPAUSA                                 0.151556       0.043111
INDAPAMIDE                                0.146725       0.082501
IMT                                       0.133172       0.020043
BETABLOCCANTI                             0.123932       0.039178
CBV_BASE                                  0.108624       0.020249
EZETEMIBE                                 0.107234       0.067578
HF_BASE                                   0.101454       0.027638
