SHAP Aggregated — OrmoniTirodei | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                          74.185864      9.951623
Creatinina                                   24.153886      6.041136
fe                                           19.085388      6.124097
Ipolipemizzanti                              16.686969      2.930792
Angiography                                  14.642412      6.707285
fT3                                          11.508047      3.147104
DimPP                                         9.526052      2.485335
Vessels                                       8.051504      3.956829
fT4                                           7.771625      2.086347
Diuretics                                     6.807249      2.428321
vsx                                           4.455519      0.959286
B-Blockers                                    3.668929      1.656361
TSH                                           3.606427      1.720096
EPA                                           3.548118      1.706853
LDL                                           2.711221      1.431210
HR                                            2.376675      0.866146
Dyslipidemia
Hystory of dyslipidemia                       2.303553      0.962872
Height                                        2.288709      0.739606
BMI                                           2.164689      1.394849
WmsiBas                                       2.159056      0.721847
Weight                                        2.123554      1.174621
Nitrates                                      1.810558      0.847177
Diastolic blood pressure                      1.674304      0.651321
PCI                                           1.668971      0.614436
Valvulopatie                                  1.665494      0.965209
Systolic blood pressure                       1.481640      0.684745
Euthyroid                                     1.473367      0.483148
DimSettoIV                                    1.469487      0.576821
Diabetes
History of diabetes                           1.468341      0.564545
Antidiabetici                                 1.467796      0.484064
Gender (Male = 1)                             1.459614      0.740222
Ipertensione                                  1.430262      0.467316
PMI                                           1.405015      0.460834
Previous Myocardial Infarction                1.388546      0.620068
Glycemia                                      1.381985      0.414327
Low T3                                        1.350325      0.692625
Total cholesterol                             1.314889      0.568186
HDL                                           1.285833      0.385639
MalattiaVasoAorta                             1.227694      0.510102
Atrial Fibrillation                           1.186107      0.511736
Triglycerides                                 1.166662      0.529662
Previous CABG                                 1.159950      0.458843
Primary Dilated
Cardiomyopathy                                1.145247      0.584873
CAD                                           1.141182      0.488837
CABG _event                                   1.129462      0.527458
ACE-inhibitors                                1.094349      0.485860
PCI_event                                     1.042258      0.369588
Normal                                        1.032065      0.574047
Aritmie                                       0.968704      0.338313
Non Fatal AMI (Follow-Up)                     0.965039      0.525358
AMI                                           0.946909      0.333122
Subclinical primary hypothyroidism (SCH)      0.934697      0.409043
Smoke
History of smoke                              0.934657      0.358172
CABG                                          0.930941      0.445855
Amiodarone                                    0.896371      0.316475
Hypertension
History of hypertension                       0.890621      0.360179
Calcium channel blockers                      0.864449      0.304065
Acute Myocardial Infarction                   0.858964      0.506438
Antiplatelet                                  0.849667      0.345988
Previous PCI                                  0.831801      0.429142
Angina                                        0.831177      0.279157
Post-ischemic Dilated
Cardiomyopathy                                0.829808      0.390082
Documented resting
or exertional ischemia                        0.810190      0.313682
Ipertiroidismo                                0.785559      0.354069
Non Fatal AMI (Follow-Up)_event               0.759665      0.415347
Subclinical primary hyperthyroidism
(SCT)                                         0.728656      0.442983
Ipotiroidismo                                 0.706804      0.416509
Pericardite                                   0.665579      0.492499
Ictus_event                                   0.613129      0.540695
MIN                                           0.605750      0.438392
Ictus                                         0.532630      0.451779
Miocardite                                    0.376600      0.345022
SindromeX                                     0.301740      0.454945
MIO                                           0.239521      0.422473
Endocardite                                   0.171212      0.241482
EmboliaPolmonare                              0.143550      0.195112

--- deepsurv_simple_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.551763      0.056417
fe                                            0.203557      0.036822
CABG                                          0.129433      0.153689
Angiography                                   0.119183      0.032249
PCI                                           0.104045      0.088203
Non Fatal AMI (Follow-Up)                     0.090628      0.129020
Ictus                                         0.065783      0.088217
LDL                                           0.053276      0.024940
Diuretics                                     0.049371      0.013096
Vessels                                       0.049060      0.016831
Ipolipemizzanti                               0.045722      0.012636
Creatinina                                    0.036927      0.011924
Valvulopatie                                  0.032153      0.007972
Diabetes
History of diabetes                           0.030725      0.008197
HR                                            0.026813      0.017050
fT4                                           0.025479      0.012742
Weight                                        0.024659      0.021170
Triglycerides                                 0.023509      0.015469
Dyslipidemia
Hystory of dyslipidemia                       0.022888      0.007228
Glycemia                                      0.022260      0.018731
fT3                                           0.021513      0.008756
Systolic blood pressure                       0.020255      0.018872
Total cholesterol                             0.019048      0.013115
Non Fatal AMI (Follow-Up)_event               0.017396      0.012434
Gender (Male = 1)                             0.017044      0.005710
CABG _event                                   0.016008      0.010527
Normal                                        0.014473      0.007856
DimSettoIV                                    0.013913      0.008279
Subclinical primary hypothyroidism (SCH)      0.013893      0.006140
B-Blockers                                    0.013568      0.003515
Diastolic blood pressure                      0.012371      0.007732
ACE-inhibitors                                0.012149      0.003672
EPA                                           0.012046      0.003459
Height                                        0.011956      0.006528
BMI                                           0.011908      0.005974
HDL                                           0.011060      0.006785
WmsiBas                                       0.010732      0.004568
Smoke
History of smoke                              0.010639      0.003457
Euthyroid                                     0.010224      0.005092
MIN                                           0.010091      0.005554
DimPP                                         0.009304      0.004788
vsx                                           0.009246      0.003774
PCI_event                                     0.009127      0.004394
Low T3                                        0.008880      0.003368
CAD                                           0.008001      0.003212
Post-ischemic Dilated
Cardiomyopathy                                0.007458      0.002887
TSH                                           0.007242      0.003797
