SHAP — HURRAH | tabdpt | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
TG                                        0.047093       0.027726
SESSO                                     0.045686       0.005796
STATINA                                   0.042352       0.014437
HT                                        0.042077       0.021655
ALTEZZA                                   0.041742       0.016474
CT                                        0.039967       0.019265
ETANOLO_G_DIE                             0.038147       0.008421
RESINE                                    0.038070       0.018258
ALB_CAT                                   0.037763       0.023409
ACIDO_NICOTINICO                          0.036946       0.016634
IPERTESO                                  0.036831       0.042633
HF_BASE                                   0.036116       0.017224
IMA_BASE                                  0.035749       0.017524
INS_CARD                                  0.034480       0.025827
DELL_ANSA                                 0.031156       0.029272
CBV_BASE                                  0.028261       0.012204
CLORTALIDONE                              0.026764       0.011291
SARTANI                                   0.026224       0.020122
HDL                                       0.026146       0.018051
IRC                                       0.024197       0.009263
NORMOMICROMACRO                           0.024170       0.013368
INDAPAMIDE                                0.023514       0.013768
NF_FA                                     0.023256       0.008481
PESO                                      0.022747       0.013223
FIBRATI                                   0.022647       0.011405
DIABETE                                   0.022584       0.006557
IMT                                       0.020915       0.008032
FAM_CV                                    0.020856       0.008701
ANNI_MENOP                                0.020779       0.014920
FA_BASE                                   0.019444       0.008328
ALLOPURINOLO                              0.019215       0.014552
BMI                                       0.019112       0.006983
HCTZ                                      0.018336       0.013144
PLACCA                                    0.018033       0.009143
ACEI                                      0.018028       0.013549
FU_NF_FA                                  0.018026       0.008677
EXFUMO                                    0.016930       0.003686
OMEGA_3                                   0.016662       0.002090
ATT_FIS_H_SETT                            0.016286       0.004745
CREATININA                                0.015125       0.011902
EZETEMIBE                                 0.014799       0.005164
DIURETICI                                 0.014565       0.009045
ATT_FIS                                   0.012761       0.008633
PCR                                       0.011311       0.011956
CAA_DIID                                  0.011311       0.002891
GOTTA                                     0.008762       0.006871
MENOPAUSA                                 0.008425       0.004027
ALTRO_CAA                                 0.006463       0.002918

--- rsf_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       8.133293       1.424907
INS_CARD                                  2.139580       0.702598
FAM_IPERT                                 1.456855       0.205915
FAM_CV                                    1.111341       0.264315
CLORTALIDONE                              1.039563       0.152275
HB                                        0.954475       0.177573
CREATININA                                0.840372       0.261818
ACEI                                      0.744524       0.194900
SARTANI                                   0.723624       0.143037
URICEMIA                                  0.648294       0.060338
DIABETE                                   0.638318       0.149505
ALLOPURINOLO                              0.570284       0.142261
GLICEMIA                                  0.540713       0.049358
PAS                                       0.539873       0.133558
IRC                                       0.513512       0.127805
GOTTA                                     0.432963       0.115202
AZOTEMIA                                  0.429605       0.075528
DELL_ANSA                                 0.372735       0.156637
ALTRO_CAA                                 0.371160       0.099335
ACIDO_NICOTINICO                          0.308259       0.055095
PLACCA                                    0.302781       0.100517
RESINE                                    0.296147       0.178190
BMI                                       0.265839       0.088372
EZETEMIBE                                 0.261150       0.116349
CT                                        0.260115       0.118031
HT                                        0.250043       0.080766
EXFUMO                                    0.247462       0.138662
ALCOOL                                    0.242935       0.031747
ALTEZZA                                   0.230435       0.128131
SESSO                                     0.230048       0.124484
VITA                                      0.225489       0.055405
OMEGA_3                                   0.222105       0.057491
HF_BASE                                   0.213374       0.104910
PESO                                      0.213111       0.037555
FC                                        0.213016       0.046577
HCTZ                                      0.196428       0.054716
INDAPAMIDE                                0.189854       0.075617
FIBRATI                                   0.188598       0.090163
BETABLOCCANTI                             0.184148       0.034957
ATT_FIS_H_SETT                            0.176609       0.041879
NF_FA                                     0.174297       0.101921
PAD                                       0.162252       0.061976
ALB_CAT                                   0.160012       0.096262
ATT_FIS                                   0.155404       0.070469
IMA_BASE                                  0.149494       0.095504
PCR                                       0.148974       0.077306
NORMOMICROMACRO                           0.144827       0.044816
ETANOLO_G_DIE                             0.133232       0.029115
FA_BASE                                   0.131641       0.093208
HDL                                       0.131548       0.065306
IPERTESO                                  0.131258       0.058201
TG                                        0.127569       0.031952
FU_NF_FA                                  0.124163       0.061718
